,Price,Beds_Count,Baths_Count,Sq_Ft_Count,Address,Year Built Details,Roof,Property Sub Type,Attached Garage,Sewer,Attribution Contact,Possible Bedrooms,Fireplace,Cooling,Association Fee,Flooring,Window Features,Parking Features,Patio And Porch Features,Heating,Fencing
,"$799,000",4,3,2389,2259 Summerwind Cir,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 234-1794,5,"eatures: Family Room, Glass Doors","Central Air, Electric", Frequency: Monthly,"Carpet, Linoleum, Vinyl","Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$840,000",6,4,4040,10921 Maryville Ave,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-583-3030,7,"eatures: Family Room, Gas","Central Air, Electric, 2 Units", Frequency: Monthly,"Ceramic Tile, Laminate","Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio, Porch","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$720,000",4,4,3160,8242 Warm Skye Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-595-5688,5,,"Central Air, Electric, Refrigerated, 2 Units", Frequency: Quarterly,"Carpet, Laminate","Blinds, Double Pane Windows, Drapes, Window Treatments","Attached, Finished Garage, Garage, Inside Entrance, Storage","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$819,900",5,4,3827,668 Italian Roast Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-233-4663,6,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",30,"Carpet, Tile","Double Pane Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$710,000",4,3,3536,771 Canary Wharf Dr,RESALE,Tile,Single Family Residence,,Public Sewer,702-685-3000,5,"eatures: Family Room, Gas","Central Air, Electric, 2 Units", Frequency: Quarterly,"Laminate, Tile",Blinds,"Epoxy Flooring, Inside Entrance, Shelves",,"Gas, Multiple Heating Units",Back Yard
,"$712,000",2,3,3200,884 Vegas Valley Dr,RESALE,"Mansard, Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-506-7100,3,"eatures: Electric, Glass Doors, Great Room","Central Air, Electric, 2 Units", Frequency: Monthly,Laminate,"Double Pane Windows, Low Emissivity Windows","Attached, Finished Garage, Garage, Golf Cart Garage, Inside Entrance","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Brick, Back Yard"
,"$725,000",2,3,2195,2777 Paradise Rd Unit 603,RESALE,,,,,702-940-9600,2,,"Electric, 1 Unit",1150,"Carpet, Marble, Tile",Drapes,"Assigned, Covered, Underground, Guest",Terrace,"Central, Gas",
,"$899,900",4,4,3341,8009 Clock Tower Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 427-6703,5,"eatures: Family Room, Gas, Glass Doors","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Tile","Double Pane Windows, Window Treatments","Attached, Epoxy Flooring, Finished Garage, Garage, Garage Door Opener, Private",Patio,"Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$710,000",4,3,2800,3080 Evening Mist Ave Unit 3,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 575-3047,5,"eatures: Family Room, Gas","Central Air, Electric, 2 Units", Frequency: Monthly,Tile,"Blinds, Double Pane Windows, Window Treatments","Attached, Epoxy Flooring, Garage, Inside Entrance, Shelves, Storage","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$4,998,000",7,9,8400,32 Vintage Canyon St,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-305-7312,8,"eatures: Bedroom, Gas, Living Room, Primary Bedroom, Multi-Sided","Central Air, Electric, ENERGY STAR Qualified Equipment, High Efficiency", Frequency: Monthly,"Carpet, Hardwood, Marble","Blinds, Double Pane Windows, Insulated Windows, Low Emissivity Windows, Triple Pane Windows","Attached, Detached, Exterior Access Door, Garage, Golf Cart Garage, Garage Door Opener, Guest, Inside Entrance, Private, RV Garage, RV Hook-Ups, RV Gated, RV Access/Parking, RV Covered, RV Paved, Shelves, Storage, Tandem","Balcony, Covered, Patio","Central, Gas, High Efficiency, Zoned","Block, Back Yard, Wrought Iron"
,"$1,899,888",5,6,4696,3722 Caesars Cir,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-279-4858,6,"eatures: Electric, Family Room","Central Air, Electric",95,Tile,"Double Pane Windows, Skylight(s)","Attached, Detached, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Patio","Central, Gas","Brick, Back Yard"
,"$1,675,000",4,4,3275,6757 Double Star St,RESALE,Tile,Single Family Residence,,Public Sewer,(702) 526-7809,5,,"Central Air, Electric, 2 Units", Frequency: Monthly,Tile,"Low Emissivity Windows, Window Treatments","Finished Garage, Garage Door Opener, Inside Entrance, Shelves, Tandem","Covered, Patio","Gas, Multiple Heating Units","Block, Back Yard"
,"$770,000",3,3,1796,930 Cirrus Cloud Ave,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,AJ_Day@outlook.com,4,,"Central Air, Electric, High Efficiency", Frequency: Monthly,"Carpet, Ceramic Tile, Linoleum, Vinyl","Blinds, Insulated Windows, Low Emissivity Windows, Plantation Shutters","Attached, Garage, Garage Door Opener",Balcony,"Central, Gas, High Efficiency","Block, Back Yard"
,"$1,350,000",5,5,5203,7471 Bachelors Button Dr Unit 1,RESALE,Tile,Single Family Residence,Yes,Public Sewer,,5,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",220,"Carpet, Ceramic Tile, Hardwood","Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$3,295,000",6,7,6283,32 Olympia Ridge Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-684-6100,7,"eatures: Electric, Gas, Great Room, Primary Bedroom, Outside","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile","Drapes, Low Emissivity Windows","Attached, Garage, Garage Door Opener","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Partial, Wrought Iron"
,"$1,000,000",3,3,2814,105 Aventura St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,Azim@JessaGroup.com,3,"eatures: Bedroom, Family Room, Gas","Central Air, Electric", Frequency: Monthly,Laminate,"Blinds, Double Pane Windows, Low Emissivity Windows","Attached, Epoxy Flooring, Garage, Garage Door Opener, Inside Entrance, Private, Shelves","Covered, Patio","Central, Gas","Block, Back Yard"
,"$950,000",5,4,4294,7386 Peace Rose St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 375-4033,6,"eatures: Gas, Living Room","Central Air, Electric",105,Hardwood,Window Treatments,"Attached, Garage, RV Access/Parking","Covered, Patio","Central, Gas","Block, Brick, Back Yard"
,"$849,900",4,4,3702,2130 Alexa Breanne Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-462-5882,6,"eatures: Family Room, Gas, Primary Bedroom","Central Air, Electric, 2 Units",100,"Carpet, Laminate, Marble",,"Attached, Garage","Balcony, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$2,049,000",5,6,4534,10838 Willow Heights Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-583-3030,5,"eatures: Gas, Great Room, Primary Bedroom","Central Air, Electric, 2 Units", Frequency: Monthly,Tile,"Blinds, Double Pane Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$995,000",4,4,3571,2200 Diamond Bar Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(775) 351-4699,4,"eatures: Bedroom, Family Room, Gas, Living Room","Central Air, Electric, 2 Units",,Carpet,"Low Emissivity Windows, Plantation Shutters, Tinted Windows","Attached, Garage, Garage Door Opener, Inside Entrance, Shelves","Covered, Patio","Gas, Multiple Heating Units","Block, Back Yard"
,"$899,990",5,5,3494,8073 Mackenzie Ct,RESALE,"Pitched, Tile",Single Family Residence,Yes,Septic Tank,(702) 768-8474,5,"eatures: Family Room, Gas, Primary Bedroom","Central Air, Electric, Refrigerated, 2 Units",165,"Carpet, Ceramic Tile, Hardwood","Double Pane Windows, Plantation Shutters","Attached, Epoxy Flooring, Finished Garage, Garage, Garage Door Opener, Inside Entrance, Shelves, Storage","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$749,000",5,5,3438,5560 Honeycreek Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 324-8235,7,"eatures: Gas, Great Room","Central Air, Electric, 2 Units",31,"Carpet, Ceramic Tile, Tile","Blinds, Double Pane Windows, Drapes, Low Emissivity Windows","Attached, Epoxy Flooring, Garage, Garage Door Opener",,"Central, Gas, Multiple Heating Units","Block, Brick, Back Yard, Wrought Iron"
,"$989,899",4,4,3456,351 E Desert Rose Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,,6,"eatures: Bedroom, Family Room, Gas","Central Air, Electric",,"Ceramic Tile, Hardwood",Double Pane Windows,"Attached, Garage, RV Garage, RV Hook-Ups, RV Access/Parking, RV Paved",Balcony,"Gas, Zoned","Block, Full"
,"$750,000",5,5,3061,7492 Midfield Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-339-9778,5,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",,"Laminate, Tile",Double Pane Windows,"Attached, Exterior Access Door, Garage, Garage Door Opener, Inside Entrance, Shelves, Storage, Workshop in Garage","Deck, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$823,000",4,4,3283,9696 Phoenician Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-221-0055,5,"eatures: Family Room, Gas","Central Air, Electric", Frequency: Monthly,"Laminate, Tile","Blinds, Double Pane Windows, Low Emissivity Windows, Plantation Shutters","Attached, Epoxy Flooring, Finished Garage, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$969,500",5,5,4440,6256 Mell Cave Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-617-0000,7,"eatures: Bedroom, Family Room, Gas","Central Air, Electric", Frequency: Monthly,"Carpet, Linoleum, Vinyl","Plantation Shutters, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, RV Gated, RV Access/Parking","Balcony, Covered, Deck, Patio","Central, Gas","Brick, Back Yard"
,"$749,900",3,3,2806,1808 Madera Canyon Pl,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 348-8536,5,"eatures: Bedroom, Family Room, Gas, Glass Doors","Central Air, Electric", Frequency: Monthly,Laminate,Blinds,"Attached, Garage","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
,"$1,625,000",4,4,3929,1504 Ten Palms Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-979-0598,5,"eatures: Electric, Great Room","Central Air, Electric, Refrigerated",100,"Carpet, Other","Double Pane Windows, Insulated Windows","Attached, Exterior Access Door, Epoxy Flooring, Electric Vehicle Charging Station(s), Garage, Inside Entrance, Shelves","Covered, Patio","Central, Gas","Block, Back Yard"
,"$1,499,999",4,6,5124,3241 Montecito Dr,RESALE,Tile,Single Family Residence,No,Septic Tank,(702) 647-8602,5,"eatures: Family Room, Gas, Living Room, Wood Burning","Central Air, Electric, 2 Units",315,"Ceramic Tile, Laminate, Tile",Double Pane Windows,"Detached, Garage, Garage Door Opener, RV Gated, RV Access/Parking, RV Paved","Balcony, Covered, Deck, Patio","Gas, Multiple Heating Units","Block, Full, RV Gate"
,"$2,580,000",5,5,4250,2960 American River Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-478-2242,6,"eatures: Gas, Living Room, Multi-Sided","Central Air, Electric, 2 Units", Frequency: Monthly,Tile,"Blinds, Drapes, Plantation Shutters, Window Treatments","Attached, Garage, Garage Door Opener, Shelves","Covered, Patio","Central, Electric","Block, Back Yard"
,"$2,400,000",5,4,5027,58 Carolina Cherry Dr,RESALE,Tile,Single Family Residence,,Public Sewer,702-684-6100,5,,"Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Tile","Low Emissivity Windows, Plantation Shutters","Epoxy Flooring, Garage Door Opener, Inside Entrance","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$4,650,000",4,4,4258,70 Meadowhawk Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-202-3226,5,"eatures: Gas, Great Room","Central Air, Electric, 2 Units", Frequency: Monthly,"Hardwood, Marble","Blinds, Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, Storage","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard, Wrought Iron"
,"$5,000,000",5,8,None,5052 Spanish Heights Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,(702) 686-6638,8,"eatures: Gas, Great Room, Living Room, Primary Bedroom, Multi-Sided","Central Air, Electric, 2 Units",446,"Carpet, Hardwood, Tile","Double Pane Windows, Low Emissivity Windows","Attached, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Enclosed, Patio","Central, Gas, Multiple Heating Units","Back Yard, Wrought Iron"
,"$1,350,000",8,6,5939,2590 E Viking Rd,RESALE,Tile,Single Family Residence,,Public Sewer,702-622-6886,8,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",,"Ceramic Tile, Laminate, Linoleum, Tile, Vinyl","Blinds, Double Pane Windows","Guest, RV Potential","Balcony, Covered, Enclosed, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$750,000",5,5,3385,10291 Timberline Valley Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 488-2187,6,,"Central Air, Electric, 2 Units", Frequency: Quarterly,"Carpet, Laminate","Blinds, Low Emissivity Windows, Window Treatments","Attached, Epoxy Flooring, Garage","Covered, Patio","Gas, High Efficiency, Multiple Heating Units","Block, Back Yard"
,"$819,000",4,4,2454,379 Wind Poppy St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 686-8736,6,,"Central Air, Electric", Frequency: Monthly,"Carpet, Laminate","Blinds, Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Epoxy Flooring, Garage, Garage Door Opener, Inside Entrance, Shelves","Covered, Patio","Central, Gas","Block, Back Yard"
,"$749,900",4,3,2978,3094 Archdale St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-550-9619,4,"eatures: Gas, Living Room","Central Air, Electric", Frequency: Monthly,"Carpet, Linoleum, Tile, Vinyl",,"Attached, Garage, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$950,000",5,6,4336,7741 Rainbow Rising St,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-286-5400,5,,"Central Air, Electric, High Efficiency",50,"Carpet, Ceramic Tile","Double Pane Windows, Insulated Windows, Low Emissivity Windows","Attached, Finished Garage, Garage, Inside Entrance",Porch,"Central, Gas, High Efficiency","Block, Back Yard"
,"$5,890,000",4,7,7242,9 Fire Rock Ct Unit 1,NEW,Tile,Single Family Residence,Yes,Public Sewer,702-604-2468,8,"eatures: Electric, Gas, Great Room, Primary Bedroom","Central Air, Electric, 2 Units", Frequency: Monthly,Tile,Double Pane Windows,"Attached, Epoxy Flooring, Garage, Inside Entrance, Shelves","Balcony, Covered, Deck, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$819,000",4,4,2395,83 Badwater Basin St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,jennifurx@gmail.com,5,,"Central Air, Electric", Frequency: Monthly,"Carpet, Tile","Blinds, Drapes, Window Treatments","Attached, Finished Garage, Garage, Inside Entrance",Patio,"Central, Gas","Block, Back Yard"
,"$2,225,000",3,4,3157,6028 Cliff View Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-248-2215,4,,"Central Air, Electric", Frequency: Monthly,"Carpet, Tile","Blinds, Double Pane Windows","Attached, Finished Garage, Garage, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
,"$1,959,000",3,4,3562,81 Pristine Glen St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 743-9998,4,,"Central Air, Electric, High Efficiency, 2 Units", Frequency: Monthly,"Carpet, Tile","Blinds, Double Pane Windows, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, Shelves",,"Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$715,000",4,3,2100,717 Foreign Reef Way,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-410-8181,4,,"Central Air, Electric", Frequency: Monthly,"Laminate, Tile","Blinds, Double Pane Windows, Low Emissivity Windows","Attached, Garage","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
,"$1,490,000",5,4,4188,8025 Rancho Destino Rd,RESALE,"Composition, Flat, Shingle",Single Family Residence,,Septic Tank,702-874-8555,5,"eatures: Electric, Family Room","Central Air, Electric",,"Laminate, Tile","Blinds, Double Pane Windows",RV Gated,"Covered, Patio","Central, Electric, Multiple Heating Units","Chain Link, Full"
,"$1,699,900",4,5,3880,10252 Jade Point Dr,RESALE,Flat,Single Family Residence,Yes,Public Sewer,(702) 406-2382,5,,"Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Tile","Blinds, Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$17,850,000",6,None,None,14 Magic Stone Ln,RESALE,"Composition, Flat, Shingle",Single Family Residence,Yes,Public Sewer,,8,"eatures: Family Room, Gas, Living Room","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile, Hardwood","Drapes, Window Treatments","Attached, Exterior Access Door, Finished Garage, Garage, Garage Door Opener, Inside Entrance, Storage",Balcony,"Central, Gas, Multiple Heating Units","Back Yard, Wrought Iron"
,"$1,499,000",3,4,2729,9165 Dean Martin Dr,RESALE,Tile,Single Family Residence,No,Septic Tank,702-639-7969,4,"eatures: Electric, Family Room","Central Air, Electric, 2 Units",,"Laminate, Tile",Blinds,"Detached, Garage, Workshop in Garage",,"Central, Gas, Multiple Heating Units","Block, Back Yard"
,"$1,220,000",4,4,2852,3001 Raywood Ash Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-586-8588,5,,"Central Air, Electric", Frequency: Monthly,Laminate,Window Treatments,"Attached, Garage, Guest","Covered, Patio","Central, Gas","Block, Back Yard, Wrought Iron"
,"$949,000",5,5,3172,12255 La Prada Pl,RESALE,Tile,Single Family Residence,Yes,Public Sewer,lisaholmquist@gmail.com,7,"eatures: Gas, Great Room","Central Air, Electric", Frequency: Monthly,"Ceramic Tile, Laminate","Double Pane Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Shelves","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
,"$850,000",4,5,4296,156 Maggie Mei Rd,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-296-9999,4,"eatures: Family Room, Gas","Central Air, Electric",95,Ceramic Tile,Low Emissivity Windows,"Attached, Garage",,"Central, Gas","Block, Back Yard"
